"file","original_edges","cleaned_edges","original_nodes","cleaned_nodes"
"C5_004_calculations.json",6,5,68,10
"C5_005_calculations.json",7,4,40,8
"C5_006_calculations.json",17,15,55,28
"C5_007_calculations.json",36,27,240,50
"C5_008_calculations.json",4,2,13,4
"C5_009_calculations.json",8,4,21,6
"C5_010_calculations.json",99,83,636,154
"C5_011_calculations.json",138,105,875,196
"C5_012_calculations.json",284,200,1246,308
"C5_013_calculations.json",535,404,1711,541
"C5_014_calculations.json",747,593,1426,618
"C5_015_calculations.json",1271,1026,2051,921
"C5_016_calculations.json",1739,1378,2827,1250
"C5_017_calculations.json",2239,1787,4620,1815
"C5_018_calculations.json",1802,1386,3280,1403
"C5_019_calculations.json",1443,1092,2806,1145
"C5_020_calculations.json",1268,916,2525,1005
"G12_003_calculations.json",81,68,526,134
"G12_004_calculations.json",156,123,1126,244
"G12_005_calculations.json",246,191,1445,356
"G12_006_calculations.json",405,303,1868,508
"G12_007_calculations.json",720,533,2661,802
"G12_008_calculations.json",1315,1005,3693,1261
"G12_009_calculations.json",2082,1598,4773,1799
"G12_010_calculations.json",2795,2157,5577,2243
"G12_011_calculations.json",3184,2473,6081,2496
"G12_012_calculations.json",3346,2553,6624,2664
"G12_013_calculations.json",3228,2466,6674,2692
"G12_014_calculations.json",3087,2355,6655,2640
"G12_015_calculations.json",3112,2394,6682,2650
"G12_016_calculations.json",3068,2332,6730,2621
"G12_017_calculations.json",3126,2360,6829,2728
"G12_018_calculations.json",3172,2435,6775,2675
"G12_019_calculations.json",2958,2220,6500,2559
"G12_020_calculations.json",3087,2348,6398,2549
"H6_005_calculations.json",8,3,20,6
"H6_006_calculations.json",18,10,42,17
"H6_007_calculations.json",22,17,52,22
"H6_008_calculations.json",28,22,61,22
"H6_009_calculations.json",80,55,232,71
"H6_010_calculations.json",172,121,491,163
"H6_011_calculations.json",290,202,741,256
"H6_012_calculations.json",547,403,1335,467
"H6_013_calculations.json",770,558,1629,604
"H6_014_calculations.json",926,694,2076,766
"H6_015_calculations.json",1014,729,2220,821
"H6_016_calculations.json",1039,750,2261,834
"H6_017_calculations.json",742,538,1751,625
"H6_018_calculations.json",633,444,1585,536
"H6_019_calculations.json",443,303,1092,392
"H6_020_calculations.json",396,267,963,355
