"geometry","file","degree","betweenness","closeness","component"
c(0.381476, 0.933183),"C5_004_calculations.json",1,0,1,1
c(0.380899, 0.920557),"C5_004_calculations.json",1,0,1,1
c(0.299197, 0.793675),"C5_004_calculations.json",1,0,1,2
c(0.289567, 0.783886),"C5_004_calculations.json",1,0,1,2
c(0.424197, 0.254016),"C5_004_calculations.json",1,0,1,3
c(0.397841, 0.246235),"C5_004_calculations.json",1,0,1,3
c(0.823544, 0.194528),"C5_004_calculations.json",1,0,1,4
c(0.82003, 0.17997),"C5_004_calculations.json",1,0,1,4
c(0.981258, 0.224398),"C5_004_calculations.json",1,0,1,5
c(0.986407, 0.229109),"C5_004_calculations.json",1,0,1,5
c(0.690512, 0.795934),"C5_005_calculations.json",1,0,1,1
c(0.698795, 0.788153),"C5_005_calculations.json",1,0,1,1
c(0.698084, 0.072749),"C5_005_calculations.json",1,0,1,2
c(0.707831, 0.068775),"C5_005_calculations.json",1,0,1,2
c(0.448879, 0.261379),"C5_005_calculations.json",1,0,1,3
c(0.39759, 0.254518),"C5_005_calculations.json",1,0,1,3
c(0.816767, 0.198544),"C5_005_calculations.json",1,0,1,4
c(0.813253, 0.154834),"C5_005_calculations.json",1,0,1,4
c(0.370769, 0.920396),"C5_006_calculations.json",1,0,1,2
c(0.384142, 0.912545),"C5_006_calculations.json",1,0,1,2
c(0.678338, 0.809237),"C5_006_calculations.json",1,0,1,3
c(0.695783, 0.796687),"C5_006_calculations.json",1,0,1,3
c(0.299751, 0.792744),"C5_006_calculations.json",1,0,1,4
c(0.298695, 0.803213),"C5_006_calculations.json",1,0,1,4
c(0.903573, 0.776774),"C5_006_calculations.json",1,0,1,5
c(0.879518, 0.758032),"C5_006_calculations.json",1,0,1,5
c(0.025728, 0.312123),"C5_006_calculations.json",1,0,1,6
c(0.014809, 0.304719),"C5_006_calculations.json",1,0,1,6
c(0.03243, 0.30743),"C5_006_calculations.json",1,0,1,7
c(0.046185, 0.304719),"C5_006_calculations.json",1,0,1,7
c(0.032448, 0.298101),"C5_006_calculations.json",1,0,1,8
c(0.031403, 0.284192),"C5_006_calculations.json",1,0,1,8
c(0.454819, 0.266064),"C5_006_calculations.json",1,0,1,9
c(0.430974, 0.252761),"C5_006_calculations.json",1,0,1,9
c(0.394578, 0.264558),"C5_006_calculations.json",1,0,1,10
c(0.402778, 0.250669),"C5_006_calculations.json",1,0,1,10
c(0.989123, 0.217537),"C5_006_calculations.json",2,1,0.5,1
c(0.981928, 0.210341),"C5_006_calculations.json",1,0,0.333333333333333,1
c(0.998494, 0.211847),"C5_006_calculations.json",1,0,0.333333333333333,1
c(0.813379, 0.202058),"C5_006_calculations.json",1,0,1,11
c(0.821787, 0.177209),"C5_006_calculations.json",1,0,1,11
c(0.816656, 0.168786),"C5_006_calculations.json",1,0,1,12
c(0.80579, 0.14595),"C5_006_calculations.json",1,0,1,12
c(0.984509, 0.231139),"C5_006_calculations.json",2,0,NA,14
c(0.690562, 0.061747),"C5_006_calculations.json",1,0,1,13
c(0.709756, 0.068775),"C5_006_calculations.json",1,0,1,13
c(0.526104, 0.968373),"C5_007_calculations.json",1,0,1,3
c(0.522339, 0.959588),"C5_007_calculations.json",1,0,1,3
c(0.368976, 0.923193),"C5_007_calculations.json",1,0,1,4
c(0.373996, 0.920683),"C5_007_calculations.json",1,0,1,4
c(0.289592, 0.789592),"C5_007_calculations.json",2,1,0.5,2
c(0.299699, 0.800703),"C5_007_calculations.json",1,0,0.333333333333333,2
c(0.308609, 0.81363),"C5_007_calculations.json",1,0,1,5
c(0.299699, 0.804719),"C5_007_calculations.json",1,0,1,5
c(0.674448, 0.810994),"C5_007_calculations.json",1,0,1,6
c(0.681225, 0.797691),"C5_007_calculations.json",1,0,1,6
c(0.716867, 0.796687),"C5_007_calculations.json",1,0,1,7
c(0.725234, 0.787483),"C5_007_calculations.json",1,0,1,7
c(0.941767, 0.753514),"C5_007_calculations.json",1,0,1,8
c(0.948795, 0.746486),"C5_007_calculations.json",1,0,1,8
c(0.875502, 0.745482),"C5_007_calculations.json",1,0,1,9
c(0.860944, 0.728581),"C5_007_calculations.json",1,0,1,9
c(0.662149, 0.71988),"C5_007_calculations.json",1,0,1,10
c(0.659137, 0.712349),"C5_007_calculations.json",1,0,1,10
c(0.212684, 0.506861),"C5_007_calculations.json",1,0,1,11
c(0.209839, 0.501506),"C5_007_calculations.json",1,0,1,11
c(0.038655, 0.310743),"C5_007_calculations.json",1,0,1,12
c(0.039659, 0.291667),"C5_007_calculations.json",1,0,1,12
c(0.011546, 0.302544),"C5_007_calculations.json",1,0,1,13
c(0.00251, 0.294679),"C5_007_calculations.json",1,0,1,13
c(0.026606, 0.299587),"C5_007_calculations.json",1,0,1,14
c(0.027108, 0.287651),"C5_007_calculations.json",1,0,1,14
c(0.386044, 0.27008),"C5_007_calculations.json",1,0,0.2,1
c(0.393909, 0.254351),"C5_007_calculations.json",3,3,0.333333333333333,1
c(0.403614, 0.253514),"C5_007_calculations.json",1,0,0.2,1
c(0.4001, 0.24247),"C5_007_calculations.json",1,0,0.2,1
c(0.981024, 0.226205),"C5_007_calculations.json",1,0,1,15
c(0.982179, 0.213604),"C5_007_calculations.json",1,0,1,15
c(0.051874, 0.193273),"C5_007_calculations.json",1,0,1,16
c(0.051707, 0.183735),"C5_007_calculations.json",1,0,1,16
c(0.796687, 0.134036),"C5_007_calculations.json",1,0,1,17
c(0.784137, 0.11998),"C5_007_calculations.json",1,0,1,17
c(0.76004, 0.097892),"C5_007_calculations.json",1,0,1,18
c(0.765813, 0.093624),"C5_007_calculations.json",1,0,1,18
c(0.985442, 0.022088),"C5_007_calculations.json",1,0,1,19
c(0.988454, 0.016734),"C5_007_calculations.json",1,0,1,19
c(0.654367, 0.828815),"C5_007_calculations.json",1,0,1,20
c(0.685743, 0.800703),"C5_007_calculations.json",1,0,1,20
c(0.325636, 0.81593),"C5_007_calculations.json",1,0,0.333333333333333,2
c(0.287005, 0.77883),"C5_007_calculations.json",2,0,NA,24
c(0.806727, 0.203815),"C5_007_calculations.json",1,0,1,21
c(0.811747, 0.164659),"C5_007_calculations.json",1,0,1,21
c(0.811245, 0.15512),"C5_007_calculations.json",1,0,1,22
c(0.812249, 0.14759),"C5_007_calculations.json",1,0,1,22
c(0.705196, 0.067771),"C5_007_calculations.json",1,0,1,23
c(0.682731, 0.043675),"C5_007_calculations.json",1,0,1,23
c(0.66993, 0.019829),"C5_008_calculations.json",1,0,1,1
c(0.668675, 0.009036),"C5_008_calculations.json",1,0,1,1
c(0.734438, 0.045683),"C5_008_calculations.json",1,0,1,2
c(0.676707, 0.024975),"C5_008_calculations.json",1,0,1,2
c(0.342118, 0.92997),"C5_009_calculations.json",1,0,1,1
c(0.350904, 0.925703),"C5_009_calculations.json",1,0,1,1
c(0.324826, 0.926548),"C5_009_calculations.json",3,0,1,2
c(0.309802, 0.927648),"C5_009_calculations.json",1,0,1,2
c(0.75, 0.040161),"C5_009_calculations.json",1,0,1,3
c(0.669302, 0.005397),"C5_009_calculations.json",1,0,1,3
c(0.650156, 0.9848),"C5_010_calculations.json",1,0,1,6
c(0.638052, 0.98494),"C5_010_calculations.json",1,0,1,6
c(0.681727, 0.96988),"C5_010_calculations.json",1,0,1,7
c(0.689759, 0.961847),"C5_010_calculations.json",1,0,1,7
c(0.661814, 0.95917),"C5_010_calculations.json",1,0,1,8
c(0.655622, 0.94749),"C5_010_calculations.json",1,0,1,8
c(0.322791, 0.936747),"C5_010_calculations.json",1,0,1,9
c(0.324398, 0.925736),"C5_010_calculations.json",1,0,1,9
c(0.340863, 0.929719),"C5_010_calculations.json",1,0,1,10
