"file","original_edges","cleaned_edges","original_nodes","cleaned_nodes"
"C5_010_calculations.json",32,23,95,40
"C5_011_calculations.json",118,80,286,106
"C5_012_calculations.json",437,323,1047,390
"C5_013_calculations.json",811,610,1670,696
"C5_014_calculations.json",1305,992,2554,1026
"C5_015_calculations.json",1919,1457,3474,1455
"C5_016_calculations.json",1927,1446,3748,1525
"C5_017_calculations.json",1691,1272,3392,1388
"C5_018_calculations.json",1303,965,2760,1107
"C5_019_calculations.json",1181,846,2569,994
"C5_020_calculations.json",1003,763,1946,846
"G12_004_calculations.json",6,4,17,8
"G12_005_calculations.json",38,20,104,33
"G12_006_calculations.json",228,153,549,205
"G12_007_calculations.json",679,467,1551,594
"G12_008_calculations.json",1215,911,2269,971
"G12_009_calculations.json",1776,1350,3088,1378
"G12_010_calculations.json",1971,1461,3404,1503
"G12_011_calculations.json",2055,1555,3579,1607
"G12_012_calculations.json",2124,1650,3666,1664
"G12_013_calculations.json",2111,1613,3604,1659
"G12_014_calculations.json",2134,1658,3681,1714
"G12_015_calculations.json",1991,1507,3644,1600
"G12_016_calculations.json",2103,1637,3620,1666
"G12_017_calculations.json",2018,1574,3502,1630
"G12_018_calculations.json",1935,1519,3265,1573
"G12_019_calculations.json",1786,1350,3011,1390
"G12_020_calculations.json",1801,1413,3015,1425
"H6_008_calculations.json",3,2,9,4
"H6_009_calculations.json",11,4,33,8
"H6_010_calculations.json",52,27,172,43
"H6_011_calculations.json",123,70,364,108
"H6_012_calculations.json",258,184,652,218
"H6_013_calculations.json",454,332,1063,391
"H6_014_calculations.json",715,525,1547,575
"H6_015_calculations.json",1052,823,2094,841
"H6_016_calculations.json",1134,857,2313,910
"H6_017_calculations.json",1125,836,2341,913
"H6_018_calculations.json",1007,747,2127,847
"H6_019_calculations.json",817,604,1803,709
"H6_020_calculations.json",596,403,1468,524
