lineIndex,pointIndex0,pointIndex1,pointIndex2,pointIndex3,pointIndex4,pointIndex5,pointIndex6,pointIndex7,pointIndex8,pointIndex9,pointIndex10
0,1,2
1,2,3,6
2,2,4
3,2,5
4,6,7,9
5,5,10,11
6,9,12
7,9,14
8,13,16
9,11,22
10,15,18
11,15,19
12,12,20
13,15,21
14,17,23,28
15,18,12
16,19,26
17,24,29,36
18,21,30,34
19,22,32
20,26,31
21,26,35
22,26,38
23,12,37,40
24,34,43
25,31,42
26,38,45
27,43,48
28,44,49,53
29,38,51
30,50,57
31,48,54,56
32,48,59
33,48,60,63
34,48,58
35,59,65
36,59,66
37,59,66
38,66,69
39,65,70,73
40,72,79
41,73,81
42,78,83,77,85,86
43,87,90
44,87,91,92
45,90,93,95,97
46,96,97
47,96,98,100
48,97,99
49,97,101
50,97,105
51,97,102
52,97,104
53,97,103
54,103,97
55,108,112,116,119,122,128,129,131
56,110,113,115
57,111,117,120
58,115,118
59,120,123
60,123,126,125
61,125,127,130
62,132,133
63,132,133
64,132,134
65,135,136
66,135,136
67,135,136
68,136,137
69,136,138
70,136,139
71,136,137
72,137,142,144,146,150,154
73,137,140
74,137,141
75,137,143
76,143,148
77,149,155,152
78,148,156,159
79,149,151
80,152,157
81,153,158,162,173
82,153,163,170
83,151,161,168,174
84,151,165
85,160,167,177
86,157,169
87,157,171,175
88,174,173
89,170,177
90,174,176,173
91,165,174
92,165,179
93,174,185,186,190,192
94,178,180,183
95,174,184
96,183,188
97,183,189,193,196
98,188,191,194,195,197
99,198,199
100,198,200,201,202,203
101,204,205,206,207,208
102,209,210
103,105,214
104,105,213
105,105,215
106,215,217
107,217,218
108,217,218
109,218,174
110,174,220,221
111,222,224
112,224,225
113,225,226
114,226,228,229,230
115,232,231,232
116,232,233
117,232,234
118,232,233
119,232,235
120,232,234,236
121,233,235
122,233,235
123,235,236
124,235,238
125,237,240,242
126,235,239
127,237,238
128,237,238
129,237,242
130,235,243,235
131,241,244,247,255,258,264,269
132,242,245
133,238,248,251
134,242,237
135,245,250,252,256
136,251,254,257
137,257,259
138,257,259
139,257,268
140,267,270,272
141,267,271
142,267,271
143,272,271
144,271,273
145,271,276
146,271,273
147,271,274
148,273,274
149,271,273
150,274,271
151,274,275
152,274,278
153,273,275
154,273,277
155,276,280
156,278,281,283
157,277,284
