name,value,lineIndex,clusterIndex
fractalDimension,1.14869411263867,,
linesInImage,228,,
clustersInImage,62,,
linesInCluster,3,,0
linesInCluster,2,,1
linesInCluster,15,,2
linesInCluster,8,,3
linesInCluster,2,,4
linesInCluster,3,,5
linesInCluster,3,,6
linesInCluster,1,,7
linesInCluster,8,,8
linesInCluster,5,,9
linesInCluster,8,,10
linesInCluster,2,,11
linesInCluster,1,,12
linesInCluster,4,,13
linesInCluster,1,,14
linesInCluster,3,,15
linesInCluster,3,,16
linesInCluster,5,,17
linesInCluster,6,,18
linesInCluster,9,,19
linesInCluster,2,,20
linesInCluster,3,,21
linesInCluster,1,,22
linesInCluster,4,,23
linesInCluster,1,,24
linesInCluster,1,,25
linesInCluster,2,,26
linesInCluster,5,,27
linesInCluster,3,,28
linesInCluster,27,,29
linesInCluster,1,,30
linesInCluster,1,,31
linesInCluster,2,,32
linesInCluster,4,,33
linesInCluster,2,,34
linesInCluster,4,,35
linesInCluster,1,,36
linesInCluster,1,,37
linesInCluster,1,,38
linesInCluster,2,,39
linesInCluster,2,,40
linesInCluster,4,,41
linesInCluster,8,,42
linesInCluster,6,,43
linesInCluster,2,,44
linesInCluster,4,,45
linesInCluster,1,,46
linesInCluster,1,,47
linesInCluster,2,,48
linesInCluster,1,,49
linesInCluster,4,,50
linesInCluster,5,,51
linesInCluster,3,,52
linesInCluster,4,,53
linesInCluster,5,,54
linesInCluster,1,,55
linesInCluster,1,,56
linesInCluster,1,,57
linesInCluster,4,,58
linesInCluster,3,,59
linesInCluster,5,,60
linesInCluster,1,,61
averageLineLength,0.014551351541000413,,0
averageLineLength,0.01526674295136227,,1
averageLineLength,0.015986105420531204,,2
averageLineLength,0.014084954286813597,,3
averageLineLength,0.01657322570505362,,4
averageLineLength,0.024897132699759808,,5
averageLineLength,0.0199465427669276,,6
averageLineLength,0.010296465476419641,,7
averageLineLength,0.01704391797288574,,8
averageLineLength,0.015884863462653227,,9
averageLineLength,0.01937456173985092,,10
averageLineLength,0.01505346935753855,,11
averageLineLength,0.01768384827383082,,12
averageLineLength,0.025447214462499358,,13
averageLineLength,0.015147768527566791,,14
averageLineLength,0.01902437219649582,,15
averageLineLength,0.03436167270899679,,16
averageLineLength,0.030143175413454897,,17
averageLineLength,0.016246415971624444,,18
averageLineLength,0.017882576241559915,,19
averageLineLength,0.016254332660563107,,20
averageLineLength,0.017919815836131513,,21
averageLineLength,0.017224608032378016,,22
averageLineLength,0.013761736949643597,,23
averageLineLength,0.023633539980094383,,24
averageLineLength,0.04385881215141031,,25
averageLineLength,0.014281587776933457,,26
averageLineLength,0.019660474854844564,,27
averageLineLength,0.018080683200358175,,28
averageLineLength,0.017556168225064925,,29
averageLineLength,0.011404923159203856,,30
averageLineLength,0.01635051508009616,,31
averageLineLength,0.030635010106335663,,32
averageLineLength,0.024346416547215883,,33
averageLineLength,0.014468373136904083,,34
averageLineLength,0.02395739421644763,,35
averageLineLength,0.015704015112321328,,36
averageLineLength,0.012301757785986724,,37
averageLineLength,0.040270270914461816,,38
averageLineLength,0.01644709319992336,,39
averageLineLength,0.014779503224699007,,40
averageLineLength,0.024961798286616134,,41
averageLineLength,0.01390643702900335,,42
