name,value,lineIndex,clusterIndex
fractalDimension,0.8746796162264474,,
linesInImage,14,,
clustersInImage,8,,
linesInCluster,3,,0
linesInCluster,2,,1
linesInCluster,1,,2
linesInCluster,1,,3
linesInCluster,2,,4
linesInCluster,1,,5
linesInCluster,2,,6
linesInCluster,2,,7
averageLineLength,0.025269673795938724,,0
averageLineLength,0.03267063968008815,,1
averageLineLength,0.05654602165148108,,2
averageLineLength,0.02756831005639527,,3
averageLineLength,0.029312969353492407,,4
averageLineLength,0.04741859312731044,,5
averageLineLength,0.02828686589611157,,6
averageLineLength,0.041155598097073934,,7
sinuosity,1.0183312678136516,0,
sinuosity,1.0463319881133604,1,
sinuosity,1.5584623095480972,2,
sinuosity,1.1062204910910556,3,
sinuosity,1.0757375436151657,4,
sinuosity,1.5170412608341932,5,
sinuosity,1.0677919452112568,6,
sinuosity,1.057502008639279,7,
sinuosity,1.0,8,
sinuosity,1.0896966465759221,9,
sinuosity,1.0666734860911178,10,
sinuosity,1.0177128361353631,11,
sinuosity,1.1404183388275213,12,
sinuosity,1.0400241204992806,13,
centerLineWidth,0.0035140562248995983,0,
centerLineWidth,0.0050200803212851405,1,
centerLineWidth,0.0050200803212851405,2,
centerLineWidth,0.00853413654618474,3,
centerLineWidth,0.0035140562248995983,4,
centerLineWidth,0.004518072289156626,5,
centerLineWidth,0.005522088353413655,6,
centerLineWidth,0.004518072289156626,7,
centerLineWidth,0.002008032128514056,8,
centerLineWidth,0.005522088353413655,9,
centerLineWidth,0.008032128514056224,10,
centerLineWidth,0.0030120481927710845,11,
centerLineWidth,0.0035140562248995983,12,
centerLineWidth,0.0035140562248995983,13,
