"geometry","file","degree","betweenness","closeness","component"
c(0.314383, 0.80246),"C5_010_calculations.json",1,0,0.2,1
c(0.33919, 0.792001),"C5_010_calculations.json",3,3,0.333333333333333,1
c(0.354195, 0.788822),"C5_010_calculations.json",1,0,0.2,1
c(0.33258, 0.782882),"C5_010_calculations.json",1,0,0.2,1
c(0.361145, 0.793675),"C5_010_calculations.json",1,0,1,4
c(0.376673, 0.794762),"C5_010_calculations.json",1,0,1,4
c(0.370147, 0.780455),"C5_010_calculations.json",1,0,1,5
c(0.392068, 0.759036),"C5_010_calculations.json",1,0,1,5
c(0.398594, 0.790495),"C5_010_calculations.json",1,0,1,6
c(0.409639, 0.787149),"C5_010_calculations.json",1,0,1,6
c(0.696285, 0.540914),"C5_010_calculations.json",3,3,0.333333333333333,2
c(0.714859, 0.539659),"C5_010_calculations.json",1,0,0.2,2
c(0.686621, 0.533384),"C5_010_calculations.json",1,0,0.2,2
c(0.682647, 0.526439),"C5_010_calculations.json",1,0,1,7
c(0.675452, 0.514809),"C5_010_calculations.json",1,0,1,7
c(0.991215, 0.248745),"C5_010_calculations.json",1,0,1,8
c(0.997992, 0.235442),"C5_010_calculations.json",1,0,1,8
c(0.987617, 0.246151),"C5_010_calculations.json",1,0,1,9
c(0.956325, 0.230924),"C5_010_calculations.json",1,0,1,9
c(0.333333, 0.173444),"C5_010_calculations.json",1,0,1,10
c(0.326054, 0.169679),"C5_010_calculations.json",1,0,1,10
c(0.325803, 0.164993),"C5_010_calculations.json",1,0,1,11
c(0.318189, 0.149515),"C5_010_calculations.json",1,0,1,11
c(0.164157, 0.141064),"C5_010_calculations.json",1,0,1,12
c(0.1916, 0.124665),"C5_010_calculations.json",1,0,1,12
c(0.279451, 0.117303),"C5_010_calculations.json",3,3,0.333333333333333,3
c(0.27761, 0.095382),"C5_010_calculations.json",1,0,0.2,3
c(0.325552, 0.10743),"C5_010_calculations.json",1,0,1,13
c(0.332329, 0.116968),"C5_010_calculations.json",1,0,1,13
c(0.381693, 0.793005),"C5_010_calculations.json",1,0,1,14
c(0.401606, 0.78238),"C5_010_calculations.json",1,0,1,14
c(0.879685, 0.661145),"C5_010_calculations.json",1,0,1,15
c(0.834337, 0.574046),"C5_010_calculations.json",1,0,1,15
c(0.703983, 0.56158),"C5_010_calculations.json",1,0,0.2,2
c(0.965863, 0.271586),"C5_010_calculations.json",1,0,1,16
c(0.985442, 0.266064),"C5_010_calculations.json",1,0,1,16
c(0.339106, 0.170348),"C5_010_calculations.json",1,0,1,17
c(0.324799, 0.139935),"C5_010_calculations.json",1,0,1,17
c(0.206702, 0.118725),"C5_010_calculations.json",1,0,0.2,3
c(0.302878, 0.113621),"C5_010_calculations.json",1,0,0.2,3
c(0.781682, 0.897144),"C5_011_calculations.json",3,2,0.25,7
c(0.770884, 0.89498),"C5_011_calculations.json",1,0,0.166666666666667,7
c(0.787249, 0.887199),"C5_011_calculations.json",3,2,0.25,7
c(0.785015, 0.873745),"C5_011_calculations.json",1,0,0.166666666666667,7
c(0.785643, 0.867972),"C5_011_calculations.json",1,0,1,13
c(0.794051, 0.866591),"C5_011_calculations.json",1,0,1,13
c(0.777945, 0.868976),"C5_011_calculations.json",1,0,1,14
c(0.763554, 0.858936),"C5_011_calculations.json",1,0,1,14
c(0.335174, 0.785308),"C5_011_calculations.json",1,0,1,15
c(0.325301, 0.779618),"C5_011_calculations.json",1,0,1,15
c(0.396586, 0.786145),"C5_011_calculations.json",1,0,1,16
c(0.424197, 0.771586),"C5_011_calculations.json",1,0,1,16
c(0.901104, 0.740462),"C5_011_calculations.json",1,0,0.2,8
c(0.901606, 0.728581),"C5_011_calculations.json",3,3,0.333333333333333,8
c(0.88755, 0.730422),"C5_011_calculations.json",1,0,0.2,8
c(0.911814, 0.722724),"C5_011_calculations.json",1,0,0.2,8
c(0.832831, 0.712349),"C5_011_calculations.json",1,0,0.142857142857143,5
c(0.82809, 0.687844),"C5_011_calculations.json",4,6,0.25,5
c(0.811747, 0.703815),"C5_011_calculations.json",1,0,0.142857142857143,5
c(0.876456, 0.66506),"C5_011_calculations.json",3,3,0.333333333333333,9
c(0.860442, 0.660643),"C5_011_calculations.json",1,0,0.2,9
c(0.886546, 0.661647),"C5_011_calculations.json",1,0,0.2,9
c(0.890646, 0.658049),"C5_011_calculations.json",1,0,1,17
c(0.910141, 0.645582),"C5_011_calculations.json",1,0,1,17
c(0.865336, 0.629016),"C5_011_calculations.json",3,3,0.333333333333333,10
c(0.86998, 0.606928),"C5_011_calculations.json",1,0,0.2,10
c(0.435743, 0.494478),"C5_011_calculations.json",1,0,1,18
c(0.427962, 0.480087),"C5_011_calculations.json",1,0,1,18
c(0.419076, 0.363454),"C5_011_calculations.json",3,3,0.333333333333333,11
c(0.430221, 0.378012),"C5_011_calculations.json",1,0,0.2,11
c(0.958961, 0.259538),"C5_011_calculations.json",3,7,0.142857142857143,4
c(0.948795, 0.242972),"C5_011_calculations.json",1,0,0.0909090909090909,4
c(0.965863, 0.245482),"C5_011_calculations.json",3,7,0.142857142857143,4
c(0.976657, 0.247239),"C5_011_calculations.json",1,0,0.0909090909090909,4
